"product" "gene" "start" "end" "strand"
"5868" "3-oxoacyl-ACP synthase III" "vnz_30630" 6761136 6762071 "+"
"5869" "hypothetical protein" "vnz_30635" 6762072 6763037 "+"
"5870" "cytochrome P450" "vnz_30640" 6763094 6764308 "+"
"5871" "hypothetical protein" "vnz_30645" 6764305 6764712 "+"
"5872" "MFS transporter" "vnz_30650" 6764680 6765996 "-"
"5873" "ATP-grasp domain-containing protein" "vnz_30655" 6766037 6767293 "-"
"5874" "cytochrome P450" "vnz_30660" 6767389 6768585 "-"
"5875" "thioesterase" "vnz_30665" 6768624 6769409 "-"
"5876" "methyltransferase" "vnz_30670" 6769409 6770449 "-"
"5877" "non-ribosomal peptide synthetase" "vnz_30675" 6770482 6772395 "-"
"5878" "2OG-Fe dioxygenase family protein" "vnz_30680" 6772789 6773421 "+"
"5879" "ATP-grasp domain-containing protein" "vnz_30685" 6773415 6774728 "+"
"5880" "MbtH family protein" "vnz_30690" 6774725 6774931 "+"
"5881" "hypothetical protein" "vnz_30695" 6775036 6775665 "+"
"5882" "response regulator transcription factor" "vnz_30700" 6775751 6776362 "-"
"5883" "two-component sensor histidine kinase" "vnz_30705" 6776414 6777751 "-"
"5884" "TOMM precursor leader peptide-binding protein" "vnz_30710" 6777875 6780193 "-"
"5885" "hypothetical protein" "vnz_30715" 6780213 6780404 "-"
"5886" "winged helix-turn-helix transcriptionalregulator" "vnz_30720" 6780782 6781132 "+"
"5887" "helix-turn-helix transcriptional regulator" "vnz_30725" 6781301 6782269 "+"
"5888" "flavin reductase family protein" "vnz_30730" 6782419 6782943 "-"
"5889" "cation:proton antiporter" "vnz_30735" 6782940 6784235 "-"
"5890" "tryptophan 7-halogenase" "vnz_30740" 6784267 6785817 "-"
"5891" "AfsR/SARP family transcriptional regulator" "vnz_30745" 6786259 6787002 "+"
"5892" "LysR family transcriptional regulator" "vnz_30750" 6787158 6788117 "+"
"5893" "FtsX-like permease family protein" "vnz_30755" 6788125 6789786 "-"
"5894" "ABC transporter ATP-binding protein" "vnz_30760" 6789786 6790577 "-"
"5895" "hypothetical protein" "vnz_30765" 6790651 6790890 "-"
"5896" "4'-phosphopantetheinyl transferase superfamilyprotein" "vnz_30770" 6790887 6791585 "-"
"5897" "acyl carrier protein" "vnz_30775" 6791807 6792067 "+"
"5898" "beta-ketoacyl-[acyl-carrier-protein] synthasefamily protein" "vnz_30780" 6792110 6793414 "+"
"5899" "alpha/beta hydrolase" "vnz_30785" 6793411 6794214 "+"
"5900" "hypothetical protein" "vnz_30790" 6794211 6795176 "+"
"5901" "hypothetical protein" "vnz_30795" 6795173 6796291 "+"
"5902" "hypothetical protein" "vnz_30800" 6796302 6796715 "+"
"5903" "hypothetical protein" "vnz_30805" 6796775 6797263 "+"
"5904" "3-oxoacyl-[acyl-carrier-protein] reductase" "vnz_30810" 6797263 6798006 "+"
"5905" "DsbA family protein" "vnz_30815" 6798008 6798718 "+"
"5906" "hypothetical protein" "vnz_30820" 6798715 6799824 "+"
"5907" "indole-3-glycerol phosphate synthase TrpC" "vnz_30825" 6799874 6800803 "+"
"5908" "anthranilate phosphoribosyltransferase" "vnz_30830" 6800878 6801942 "-"
"5909" "PLP-dependent aminotransferase family protein" "vnz_30835" 6802085 6803473 "+"
"5910" "aminodeoxychorismate/anthranilate synthasecomponent II" "vnz_30840" 6803451 6804083 "-"
"5911" "anthranilate synthase component I familyprotein" "vnz_30845" 6804190 6805704 "-"
"5912" "3-deoxy-7-phosphoheptulonate synthase class II" "vnz_30850" 6805927 6807345 "+"
"5913" "thioesterase" "vnz_30855" 6807323 6808036 "-"
"5914" "aspartate/glutamate racemase family protein" "vnz_30860" 6808047 6808754 "-"
"5915" "DUF4097 family beta strand repeat protein" "vnz_30865" 6809014 6809742 "+"
"5916" "3-oxoacyl-ACP synthase" "vnz_30870" 6809966 6810895 "+"
"5917" "ATP-grasp domain-containing protein" "vnz_30875" 6810913 6812307 "+"
"5918" "type III PLP-dependent enzyme" "vnz_30880" 6812304 6813602 "+"
"5919" "acyl carrier protein" "vnz_30885" 6813632 6813907 "+"
"5920" "hypothetical protein" "vnz_30890" 6813904 6814776 "+"
"5921" "hypothetical protein" "vnz_30895" 6814845 6815498 "+"
"5922" "acyl-CoA dehydrogenase family protein" "vnz_30900" 6815495 6816670 "+"
"5923" "2,3-diaminopropionate biosynthesis protein SbnB" "vnz_30905" 6816786 6817835 "+"
"5924" "non-ribosomal peptide synthetase" "vnz_30915" 6818977 6833949 "+"
"5925" "ABC transporter permease" "vnz_30920" 6833949 6834773 "+"
"5926" "cytochrome P450" "vnz_30925" 6835035 6836399 "+"
"5927" "MbtH family protein" "vnz_30930" 6836404 6836622 "+"
"5928" "ATP-binding cassette domain-containing protein" "vnz_30935" 6836643 6837584 "+"
"5929" "4'-phosphopantetheinyl transferase superfamilyprotein" "vnz_30940" 6837661 6838380 "-"
"5930" "tetratricopeptide repeat protein" "vnz_30945" 6838519 6841575 "+"
"5931" "ABC transporter ATP-binding protein" "vnz_30950" 6841723 6842502 "+"
"5932" "FtsX-like permease family protein" "vnz_30955" 6842502 6845063 "+"
"5933" "4'-phosphopantetheinyl transferase superfamilyprotein" "vnz_30960" 6845145 6845960 "+"
"5934" "NCS1 family nucleobase:cation symporter-1" "vnz_30975" 6848639 6850180 "+"
"5935" "serine protease" "vnz_30980" 6850134 6850946 "-"
"5936" "hypothetical protein" "vnz_30985" 6851101 6851988 "-"
"5937" "lipoate--protein ligase family protein" "vnz_30990" 6852027 6853208 "-"
"5938" "inositol monophosphatase" "vnz_30995" 6853207 6854043 "+"
"5939" "NAD(P)/FAD-dependent oxidoreductase" "vnz_31000" 6854189 6855607 "+"
"5940" "threonylcarbamoyl-AMP synthase" "vnz_31005" 6855626 6856246 "+"
"5941" "metallophosphoesterase" "vnz_31010" 6856372 6857139 "+"
"5942" "DNA-3-methyladenine glycosylase 2 familyprotein" "vnz_31015" 6857253 6858737 "+"
"5943" "methylated-DNA--[protein]-cysteineS-methyltransferase" "vnz_31020" 6858744 6859247 "+"
"5944" "NAD-dependent deacetylase" "vnz_31025" 6859281 6860024 "-"
"5945" "type II toxin-antitoxin system VapB familyantitoxin" "vnz_31030" 6860088 6860291 "+"
"5946" "ADP-ribosylglycohydrolase family protein" "vnz_31035" 6860698 6861783 "-"
"5947" "BCCT family transporter" "vnz_31040" 6861854 6863560 "-"
"5948" "glycerate kinase" "vnz_31045" 6863673 6864824 "+"
"5949" "helix-turn-helix domain-containing protein" "vnz_31050" 6865224 6866423 "-"
"5950" "ABC transporter ATP-binding protein" "vnz_31055" 6866629 6867447 "+"
"5951" "branched-chain amino acid ABC transporterpermease" "vnz_31065" 6868403 6869293 "+"
"5952" "ABC transporter substrate-binding protein" "vnz_31070" 6870484 6871749 "+"
"5953" "NAD(P)-dependent oxidoreductase" "vnz_31075" 6871754 6872593 "-"
"5954" "CDP-diacylglycerol--serineO-phosphatidyltransferase" "vnz_31085" 6873723 6874589 "-"
"5955" "phosphatidylserine decarboxylase" "vnz_31090" 6874582 6875238 "-"
"5956" "acyl-CoA dehydrogenase family protein" "vnz_31095" 6875408 6876613 "-"
"5957" "MaoC family dehydratase" "vnz_31100" 6876617 6877141 "-"
"5958" "CoA ester lyase" "vnz_31105" 6877146 6878111 "-"
"5959" "protein meaA" "vnz_31110" 6878108 6880129 "-"
"5960" "crotonyl-CoA carboxylase/reductase" "vnz_31115" 6880144 6881481 "-"
"5961" "TetR family transcriptional regulator" "vnz_31120" 6881868 6882698 "-"
"5962" "3-hydroxyacyl-CoA dehydrogenase" "vnz_31125" 6882814 6884595 "-"
"5963" "HEAT repeat domain-containing protein" "vnz_31130" 6884901 6885503 "+"
"5964" "alpha/beta hydrolase" "vnz_31140" 6886042 6887634 "-"
"5965" "Rv2578c family radical SAM protein" "vnz_31145" 6887778 6888809 "-"
"5966" "SRPBCC family protein" "vnz_31150" 6888957 6889400 "+"
"5967" "MFS transporter" "vnz_31155" 6889600 6892134 "+"
"5968" "FAD-dependent monooxygenase" "vnz_31165" 6895326 6896603 "+"
"5969" "hypothetical protein" "vnz_31170" 6896647 6897852 "-"
"5970" "hypothetical protein" "vnz_31175" 6898026 6899966 "+"
"5971" "M55 family metallopeptidase" "vnz_31180" 6900063 6900896 "+"
"5972" "M20/M25/M40 family metallo-hydrolase" "vnz_31185" 6900889 6902223 "+"
"5973" "S9 family peptidase" "vnz_31190" 6902248 6904251 "+"
"5974" "LD-carboxypeptidase" "vnz_31195" 6904248 6905246 "+"
"5975" "CocE/NonD family hydrolase" "vnz_31200" 6905407 6907197 "+"
"5976" "adenosine deaminase" "vnz_31205" 6907223 6908311 "-"
"5977" "alkene reductase" "vnz_31210" 6908615 6909693 "-"
"5978" "LysR family transcriptional regulator" "vnz_31215" 6909939 6910829 "+"
"5979" "GntR family transcriptional regulator" "vnz_31220" 6910826 6911620 "-"
"5980" "DUF1049 domain-containing protein" "vnz_31225" 6911797 6912048 "+"
"5981" "hypothetical protein" "vnz_31230" 6912045 6912395 "+"
"5982" "hypothetical protein" "vnz_31235" 6912545 6912877 "-"
"5983" "DUF5107 domain-containing protein" "vnz_31240" 6913057 6915147 "+"
"5984" "hypothetical protein" "vnz_31245" 6915227 6915454 "+"
"5985" "methyltransferase domain-containing protein" "vnz_31250" 6915501 6916346 "-"
"5986" "GNAT family N-acetyltransferase" "vnz_31255" 6916449 6916967 "-"
"5987" "sulfite oxidase" "vnz_31260" 6917142 6918389 "+"
"5988" "aminotransferase class I/II-fold pyridoxalphosphate-dependent enzyme" "vnz_31265" 6918544 6919776 "+"
"5989" "MBL fold metallo-hydrolase" "vnz_31270" 6919850 6920890 "+"
"5990" "VTT domain-containing protein" "vnz_31275" 6920870 6921640 "-"
"5991" "MBL fold metallo-hydrolase" "vnz_31280" 6921637 6922416 "-"
"5992" "hypothetical protein" "vnz_31285" 6922553 6922969 "+"
"5993" "phage holin family protein" "vnz_31290" 6923140 6925308 "+"
"5994" "amino acid permease" "vnz_31295" 6925380 6926810 "+"
"5995" "hypothetical protein" "vnz_31300" 6926921 6927298 "+"
"5996" "alpha/beta hydrolase" "vnz_31305" 6927597 6929510 "+"
"5997" "low temperature requirement protein A" "vnz_31310" 6929530 6930738 "-"
"5998" "hypothetical protein" "vnz_31315" 6930943 6931365 "+"
"5999" "helix-turn-helix transcriptional regulator" "vnz_31320" 6931400 6932242 "-"
"6000" "4a-hydroxytetrahydrobiopterin dehydratase" "vnz_31325" 6932335 6932640 "+"
"6001" "class I SAM-dependent methyltransferase" "vnz_31330" 6932718 6933452 "+"
"6002" "NmrA family transcriptional regulator" "vnz_31335" 6933566 6934447 "-"
"6003" "AraC family transcriptional regulator" "vnz_31340" 6934541 6935473 "+"
"6004" "class I SAM-dependent methyltransferase" "vnz_31345" 6935538 6936533 "+"
"6005" "RICIN domain-containing protein" "vnz_31350" 6936555 6937019 "-"
"6006" "aldo/keto reductase" "vnz_31355" 6937147 6938034 "-"
"6007" "long-chain fatty acid--CoA ligase" "vnz_31360" 6938128 6939951 "-"
"6008" "LysR family transcriptional regulator" "vnz_31365" 6940238 6941104 "-"
"6009" "bile acid:sodium symporter" "vnz_31370" 6941260 6942345 "+"
"6010" "isochorismatase family protein" "vnz_31375" 6942371 6942910 "+"
"6011" "hypothetical protein" "vnz_31380" 6942907 6943290 "+"
"6012" "ketoacyl-ACP synthase III" "vnz_31385" 6943464 6944420 "+"
"6013" "lipoprotein" "vnz_31390" 6944757 6945314 "+"
"6014" "class F sortase" "vnz_31395" 6945482 6946180 "+"
"6015" "ROK family transcriptional regulator" "vnz_31400" 6946338 6947519 "+"
"6016" "ATP-binding cassette domain-containing protein" "vnz_31405" 6947656 6949143 "+"
"6017" "ABC transporter permease" "vnz_31410" 6949140 6950141 "+"
"6018" "substrate-binding domain-containing protein" "vnz_31415" 6950189 6951232 "+"
"6019" "Gfo/Idh/MocA family oxidoreductase" "vnz_31420" 6951302 6952516 "+"
"6020" "sugar phosphate isomerase/epimerase" "vnz_31425" 6952527 6953531 "+"
"6021" "ThuA domain-containing protein" "vnz_31430" 6953778 6957470 "+"
"6022" "inositol-3-phosphate synthase" "vnz_31435" 6957620 6958765 "+"
"6023" "UbiA family prenyltransferase" "vnz_31440" 6958762 6959682 "+"
"6024" "sugar phosphate isomerase/epimerase" "vnz_31445" 6959679 6960569 "+"
"6025" "EboA domain-containing protein" "vnz_31450" 6960563 6961132 "+"
"6026" "TatD family hydrolase" "vnz_31455" 6961132 6961980 "+"
"6027" "metabolite traffic protein EboE" "vnz_31460" 6961990 6963183 "+"
"6028" "alkaline phosphatase family protein" "vnz_31465" 6963180 6964589 "+"
"6029" "sugar phosphate isomerase/epimerase" "vnz_31470" 6964660 6965721 "+"
"6030" "hypothetical protein" "vnz_31480" 6966243 6966524 "+"
"6031" "class I SAM-dependent methyltransferase" "vnz_31485" 6966521 6967231 "-"
"6032" "ATP-binding protein" "vnz_31495" 6967770 6968201 "-"
"6033" "helix-turn-helix domain-containing protein" "vnz_31500" 6968464 6969339 "+"
"6034" "DUF397 domain-containing protein" "vnz_31505" 6969340 6969576 "+"
"6035" "SAM-dependent methyltransferase" "vnz_31510" 6969651 6970469 "+"
"6036" "peptidase" "vnz_31515" 6970558 6972444 "-"
"6037" "6-phospho-beta-glucosidase" "vnz_31520" 6972536 6973879 "-"
"6038" "hypothetical protein" "vnz_31525" 6974004 6974453 "+"
"6039" "MFS transporter" "vnz_31530" 6974499 6976610 "-"
"6040" "hypothetical protein" "vnz_31535" 6976708 6976956 "-"
"6041" "ATP-dependent DNA ligase" "vnz_31540" 6977356 6978414 "-"
"6042" "non-homologous end-joining DNA ligase" "vnz_31545" 6978467 6979498 "+"
"6043" "IclR family transcriptional regulator" "vnz_31550" 6979575 6980363 "-"
"6044" "WhiB family transcriptional regulator" "vnz_31555" 6980558 6980815 "+"
"6045" "acyl-ACP desaturase" "vnz_31560" 6980853 6981827 "-"
"6046" "hypothetical protein" "vnz_31565" 6982097 6982303 "-"
"6047" "helix-turn-helix transcriptional regulator" "vnz_31570" 6982374 6983225 "-"
"6048" "ATP-binding protein" "vnz_31575" 6983405 6983866 "+"
"6049" "ABC-F family ATP-binding cassettedomain-containing protein" "vnz_31580" 6983912 6985555 "-"
"6050" "SsgA family sporulation/cell division regulator" "vnz_31585" 6985797 6986213 "-"
"6051" "(4Fe-4S)-binding protein" "vnz_31590" 6986382 6986846 "-"
"6052" "oxidoreductase" "vnz_31595" 6986923 6988041 "+"
"6053" "hypothetical protein" "vnz_31600" 6988038 6988337 "-"
"6054" "endonuclease V" "vnz_31605" 6988396 6989091 "+"
"6055" "VOC family protein" "vnz_31610" 6989303 6989677 "+"
"6056" "saccharopine dehydrogenase NADP-bindingdomain-containing protein" "vnz_31615" 6989724 6991067 "-"
"6057" "CoA transferase" "vnz_31620" 6991273 6992430 "+"
"6058" "acyl-CoA dehydrogenase family protein" "vnz_31625" 6992427 6993578 "+"
"6059" "acetyl-CoA C-acetyltransferase" "vnz_31630" 6993624 6994838 "+"
"6060" "enoyl-CoA hydratase/isomerase family protein" "vnz_31635" 6994886 6997060 "+"
"6061" "MerR family transcriptional regulator" "vnz_31640" 6997089 6997823 "-"
"6062" "hypothetical protein" "vnz_31645" 6998013 6998495 "+"
"6063" "sphingomyelin phosphodiesterase" "vnz_31650" 6998525 6999565 "-"
"6064" "ATP synthase F0 subunit B" "vnz_31655" 6999691 7000176 "+"
"6065" "DUF2236 domain-containing protein" "vnz_31660" 7000376 7001191 "+"
"6066" "M1 family metallopeptidase" "vnz_31665" 7001250 7002818 "-"
"6067" "Xaa-Pro dipeptidyl-peptidase" "vnz_31670" 7003043 7005094 "+"
"6068" "succinylglutamate desuccinylase/aspartoacylasefamily protein" "vnz_31675" 7005091 7006398 "+"
"6069" "hypothetical protein" "vnz_31680" 7006516 7006818 "+"
"6070" "ABC-F family ATP-binding cassettedomain-containing protein" "vnz_31690" 7007566 7009203 "+"
"6071" "2-phosphosulfolactate phosphatase" "vnz_31695" 7009232 7009960 "+"
"6072" "hypothetical protein" "vnz_31700" 7009957 7010358 "+"
"6073" "DUF2690 domain-containing protein" "vnz_31705" 7010450 7010902 "-"
"6074" "RNA-binding transcriptional accessory protein" "vnz_31710" 7011111 7013534 "-"
"6075" "hypothetical protein" "vnz_31715" 7013663 7014532 "-"
"6076" "GlxA family transcriptional regulator" "vnz_31720" 7014658 7015629 "+"
"6077" "DJ-1/PfpI family protein" "vnz_31725" 7015642 7016286 "+"
"6078" "enoyl-CoA hydratase/isomerase family protein" "vnz_31730" 7016305 7017048 "-"
"6079" "DUF308 domain-containing protein" "vnz_31735" 7017167 7017778 "+"
"6080" "ATP-binding protein" "vnz_31740" 7017909 7018430 "+"
"6081" "isopentenyl-diphosphate Delta-isomerase" "vnz_31745" 7018396 7019016 "-"
"6082" "GNAT family N-acetyltransferase" "vnz_31750" 7019169 7020413 "-"
"6083" "cation transporter" "vnz_31755" 7020609 7021550 "-"
"6084" "CDP-alcohol phosphatidyltransferase familyprotein" "vnz_31760" 7021967 7023757 "+"
"6085" "phosphocholine cytidylyltransferase familyprotein" "vnz_31765" 7023754 7024491 "+"
"6086" "iron-containing alcohol dehydrogenase familyprotein" "vnz_31770" 7024479 7025540 "+"
"6087" "CDP-alcohol phosphatidyltransferase familyprotein" "vnz_31775" 7025518 7026297 "+"
"6088" "glycosyltransferase family 2 protein" "vnz_31780" 7026345 7027190 "+"
"6089" "ABC transporter permease" "vnz_31785" 7027240 7028169 "+"
"6090" "ABC transporter ATP-binding protein" "vnz_31790" 7028162 7028947 "+"
"6091" "TetR/AcrR family transcriptional regulator" "vnz_31795" 7029056 7029703 "+"
"6092" "squalene synthase HpnC" "vnz_31800" 7030019 7030930 "+"
"6093" "presqualene diphosphate synthase HpnD" "vnz_31805" 7030927 7031877 "+"
"6094" "FAD-dependent oxidoreductase" "vnz_31810" 7031960 7033360 "+"
"6095" "polyprenyl synthetase family protein" "vnz_31815" 7033357 7034457 "+"
"6096" "squalene--hopene cyclase" "vnz_31820" 7034565 7036544 "+"
"6097" "hypothetical protein" "vnz_31825" 7036544 7037215 "+"
"6098" "adenosyl-hopene transferase HpnH" "vnz_31830" 7037223 7038245 "+"
"6099" "aspartate aminotransferase family protein" "vnz_31835" 7038271 7039656 "+"
"6100" "helix-turn-helix domain-containing protein" "vnz_31840" 7039845 7040423 "+"
"6101" "tyrosine-protein phosphatase" "vnz_31845" 7040655 7041476 "-"
"6102" "peptidoglycan DD-metalloendopeptidase familyprotein" "vnz_31850" 7042029 7043021 "+"
"6103" "SGNH/GDSL hydrolase family protein" "vnz_31855" 7043186 7043980 "+"
"6104" "SIMPL domain-containing protein" "vnz_31860" 7044211 7044981 "+"
"6105" "TetR family transcriptional regulator" "vnz_31865" 7044997 7045728 "-"
"6106" "glutamate dehydrogenase" "vnz_31870" 7045792 7046979 "-"
"6107" "MBL fold metallo-hydrolase" "vnz_31875" 7047111 7048313 "+"
"6108" "VCBS repeat-containing protein" "vnz_31880" 7048365 7050635 "-"
"6109" "DMT family transporter" "vnz_31885" 7050954 7051805 "+"
"6110" "NHLP bacteriocin export ABC transporterpermease/ATPase subunit" "vnz_31890" 7051826 7054690 "-"
"6111" "NHLP family bacteriocin export ABC transporterpeptidase/permease/ATPase subunit" "vnz_31895" 7054848 7056989 "-"
"6112" "HlyD family efflux transporter periplasmicadaptor subunit" "vnz_31900" 7057097 7057903 "-"
"6113" "hypothetical protein" "vnz_31905" 7058040 7058291 "-"
"6114" "ATP-binding protein" "vnz_31910" 7059200 7061212 "+"
"6115" "roadblock/LC7 domain-containing protein" "vnz_31915" 7061218 7061652 "+"
"6116" "DUF742 domain-containing protein" "vnz_31920" 7061655 7062026 "+"
"6117" "ATP/GTP-binding protein" "vnz_31925" 7062004 7062627 "+"
"6118" "GAF domain-containing protein" "vnz_31930" 7062624 7063196 "+"
"6119" "acyl-CoA dehydrogenase family protein" "vnz_31935" 7063312 7064550 "-"
"6120" "hypothetical protein" "vnz_31945" 7065507 7066070 "+"
"6121" "hypothetical protein" "vnz_31950" 7066225 7066419 "+"
"6122" "response regulator transcription factor" "vnz_31955" 7066638 7067258 "+"
"6123" "ABC transporter ATP-binding protein" "vnz_31960" 7067293 7068975 "-"
"6124" "ATP-binding cassette domain-containing protein" "vnz_31965" 7069161 7071254 "-"
"6125" "SapB/AmfS family lanthipeptide" "vnz_31970" 7071399 7071527 "-"
"6126" "class III lanthionine synthetase LanKC" "vnz_31975" 7071572 7074199 "-"
"6127" "SDR family oxidoreductase" "vnz_31980" 7074452 7075288 "-"
"6128" "serine/threonine protein kinase" "vnz_31985" 7075632 7076873 "+"
"6129" "NAD(P)-binding domain-containing protein" "vnz_31990" 7076863 7077465 "-"
"6130" "3'(2'),5'-bisphosphate nucleotidase CysQ" "vnz_31995" 7077510 7078331 "-"
"6131" "LysR family transcriptional regulator" "vnz_32000" 7078474 7079400 "+"
"6132" "dihydrofolate reductase family protein" "vnz_32005" 7079582 7080187 "-"
"6133" "TetR family transcriptional regulator" "vnz_32010" 7080304 7080951 "-"
"6134" "tetracycline resistance MFS efflux pump" "vnz_32015" 7081111 7082580 "+"
"6135" "GAF domain-containing protein" "vnz_32020" 7082659 7085079 "+"
"6136" "response regulator" "vnz_32025" 7085105 7085536 "-"
"6137" "SpoIIE family protein phosphatase" "vnz_32030" 7085617 7087404 "-"
"6138" "diaminopropionate ammonia-lyase" "vnz_32035" 7087636 7088754 "-"
"6139" "LysR family transcriptional regulator" "vnz_32040" 7088874 7089788 "+"
"6140" "DUF4246 domain-containing protein" "vnz_32045" 7089909 7091408 "+"
"6141" "methyltransferase domain-containing protein" "vnz_32050" 7091561 7092346 "+"
"6142" "S8 family serine peptidase" "vnz_32055" 7092516 7095875 "-"
"6143" "hypothetical protein" "vnz_32065" 7100204 7100569 "-"
"6144" "RNA polymerase sigma factor" "vnz_32070" 7100557 7101168 "-"
"6145" "DNA/RNA non-specific endonuclease" "vnz_32075" 7101635 7106395 "+"
"6146" "SMI1/KNR4 family protein" "vnz_32080" 7106417 7106971 "+"
"6147" "sugar hydrolase" "vnz_32085" 7107053 7108267 "-"
"6148" "methyltransferase domain-containing protein" "vnz_32090" 7108581 7109438 "+"
"6149" "DUF2029 domain-containing protein" "vnz_32095" 7109688 7111088 "-"
"6150" "molybdopterin-dependent oxidoreductase" "vnz_32100" 7111202 7112422 "+"
"6151" "hypothetical protein" "vnz_32105" 7112419 7112976 "+"
"6152" "class I SAM-dependent methyltransferase" "vnz_32110" 7112937 7113617 "-"
"6153" "DUF2064 domain-containing protein" "vnz_32115" 7113614 7114303 "-"
"6154" "glycosyltransferase family 2 protein" "vnz_32120" 7114300 7114977 "-"
"6155" "response regulator transcription factor" "vnz_32125" 7115112 7115921 "+"
"6156" "HAMP domain-containing histidine kinase" "vnz_32130" 7115918 7117054 "+"
"6157" "NAD-dependent epimerase/dehydratase familyprotein" "vnz_32135" 7117128 7118201 "-"
"6158" "SRPBCC domain-containing protein" "vnz_32140" 7118284 7118703 "-"
"6159" "winged helix-turn-helix transcriptionalregulator" "vnz_32145" 7118700 7119104 "-"
"6160" "VOC family protein" "vnz_32150" 7119248 7120045 "+"
"6161" "N-acetyltransferase" "vnz_32155" 7120128 7120469 "-"
"6162" "pirin family protein" "vnz_32160" 7120520 7121443 "-"
"6163" "carboxymuconolactone decarboxylase familyprotein" "vnz_32165" 7121519 7122079 "+"
"6164" "DUF1275 domain-containing protein" "vnz_32170" 7122076 7122804 "-"
"6165" "hypothetical protein" "vnz_32175" 7123033 7123323 "+"
"6166" "EF-hand domain-containing protein" "vnz_32180" 7123504 7123755 "-"
"6167" "DNA helicase RecQ" "vnz_32185" 7123914 7125956 "+"
"6168" "DUF3533 domain-containing protein" "vnz_32190" 7125991 7127277 "-"
"6169" "AAA family ATPase" "vnz_32195" 7127523 7130084 "+"
"6170" "formate dehydrogenase accessorysulfurtransferase FdhD" "vnz_32200" 7130208 7131044 "-"
"6171" "Dyp-type peroxidase" "vnz_32205" 7131300 7132289 "+"
"6172" "bacteriocin family protein" "vnz_32210" 7132295 7133149 "+"
"6173" "hypothetical protein" "vnz_32215" 7133192 7134043 "-"
"6174" "GreA/GreB family elongation factor" "vnz_32220" 7134052 7134519 "-"
"6175" "hypothetical protein" "vnz_32225" 7134752 7135405 "+"
"6176" "trypsin-like peptidase domain-containingprotein" "vnz_32230" 7135407 7136489 "-"
"6177" "caspase family protein" "vnz_32240" 7142227 7143036 "+"
"6178" "AAA family ATPase" "vnz_32245" 7143026 7145905 "-"
"6179" "S8 family serine peptidase" "vnz_32250" 7146153 7147853 "-"
"6180" "GNAT family N-acetyltransferase" "vnz_32255" 7148672 7149538 "-"
"6181" "NAD(+)/NADH kinase" "vnz_32260" 7149797 7150696 "-"
"6182" "hypothetical protein" "vnz_32265" 7150693 7151700 "-"
"6183" "DMT family transporter" "vnz_32270" 7151753 7152907 "-"
"6184" "inositol phosphorylceramide synthase" "vnz_32275" 7152904 7153752 "-"
"6185" "TetR/AcrR family transcriptional regulator" "vnz_32280" 7153961 7154563 "+"
"6186" "DUF488 family protein" "vnz_32285" 7154593 7154961 "+"
"6187" "DUF309 domain-containing protein" "vnz_32290" 7154980 7155531 "-"
"6188" "nuclear transport factor 2 family protein" "vnz_32300" 7156196 7156573 "-"
"6189" "NUDIX domain-containing protein" "vnz_32305" 7156892 7157566 "-"
"6190" "hypothetical protein" "vnz_32310" 7157563 7157946 "-"
"6191" "DeoR/GlpR transcriptional regulator" "vnz_32315" 7157995 7158750 "+"
"6192" "redoxin family protein" "vnz_32320" 7159269 7160234 "-"
"6193" "hypothetical protein" "vnz_32325" 7160396 7160920 "-"
"6194" "hydrolase" "vnz_32330" 7160943 7162421 "-"
"6195" "SGNH/GDSL hydrolase family protein" "vnz_32340" 7162929 7163768 "-"
"6196" "formylglycine-generating enzyme family protein" "vnz_32345" 7163828 7164670 "-"
"6198" "sulfatase" "vnz_32355" 7166298 7168064 "-"
"6199" "PadR family transcriptional regulator" "vnz_32360" 7168061 7168654 "-"
"6200" "esterase-like activity of phytase familyprotein" "vnz_32365" 7169116 7170279 "+"
"6201" "SDR family oxidoreductase" "vnz_32370" 7170386 7171132 "-"
"6202" "Rrf2 family transcriptional regulator" "vnz_32375" 7171239 7171721 "+"
"6203" "hypothetical protein" "vnz_32380" 7171982 7172548 "+"
"6204" "DUF2236 domain-containing protein" "vnz_32385" 7172758 7173615 "-"
"6205" "alpha-ketoglutarate-dependent dioxygenase AlkB" "vnz_32390" 7173710 7174360 "+"
"6206" "HEAT repeat domain-containing protein" "vnz_32395" 7174395 7175105 "+"
"6207" "MerR family transcriptional regulator" "vnz_32400" 7175109 7176116 "+"
"6208" "carboxylesterase family protein" "vnz_32405" 7176314 7177816 "+"
"6209" "DUF4232 domain-containing protein" "vnz_32410" 7177877 7178668 "-"
"6210" "helix-turn-helix domain-containing protein" "vnz_32415" 7178842 7180266 "+"
"6211" "nitric oxide synthase oxygenase" "vnz_32420" 7180540 7181613 "+"
"6212" "hypothetical protein" "vnz_32425" 7181674 7181964 "-"
"6213" "NAD(P)-dependent oxidoreductase" "vnz_32430" 7182113 7182997 "-"
"6214" "helix-turn-helix transcriptional regulator" "vnz_32435" 7183057 7183407 "+"
"6215" "methylmalonyl Co-A mutase-associated GTPaseMeaB" "vnz_32440" 7183554 7184537 "-"
"6216" "methylmalonyl-CoA mutase" "vnz_32445" 7184534 7186708 "-"
"6217" "methylmalonyl-CoA mutase small subunit" "vnz_32450" 7186708 7188519 "-"
"6218" "hypothetical protein" "vnz_32455" 7188613 7188888 "+"
"6219" "hypothetical protein" "vnz_32460" 7188937 7189407 "-"
